taxonomy_id,l1_field,l2_domain,subfield_name,keyword_rank_within_subfield,keyword,keyword_norm,keyword_type,match_priority,keyword_weight,source_system,source_code
TX0001,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomical sciences,1,astronomical sciences,astronomical sciences,exact_or_near_exact,5,1,Custom Extension,5101
TX0001,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomical sciences,2,astrophysics,astrophysics,exact_or_near_exact,5,1,Custom Extension,5101
TX0001,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomical sciences,3,space observation,space observation,exact_or_near_exact,5,1,Custom Extension,5101
TX0001,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomical sciences,4,cosmology,cosmology,token_or_phrase_expansion,4,0.9,Custom Extension,5101
TX0001,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomical sciences,5,planetary systems,planetary systems,token_or_phrase_expansion,4,0.9,Custom Extension,5101
TX0001,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomical sciences,6,orbital dynamics,orbital dynamics,token_or_phrase_expansion,4,0.9,Custom Extension,5101
TX0001,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomical sciences,7,remote sensing,remote sensing,token_or_phrase_expansion,4,0.9,Custom Extension,5101
TX0001,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomical sciences,8,stellar physics,stellar physics,token_or_phrase_expansion,4,0.9,Custom Extension,5101
TX0001,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomical sciences,9,space instruments,space instruments,domain_seed,3,0.75,Custom Extension,5101
TX0001,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomical sciences,10,empirical measurement,empirical measurement,domain_seed,3,0.75,Custom Extension,5101
TX0001,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomical sciences,11,theoretical model,theoretical model,domain_seed,3,0.75,Custom Extension,5101
TX0001,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomical sciences,12,laboratory experiment,laboratory experiment,domain_seed,3,0.75,Custom Extension,5101
TX0001,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomical sciences,13,field data,field data,domain_seed,3,0.75,Custom Extension,5101
TX0001,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomical sciences,14,astronomical sciences methods,astronomical sciences methods,domain_seed,3,0.75,Custom Extension,5101
TX0001,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomical sciences,15,astronomical sciences research,astronomical sciences research,contextual_seed,2,0.6,Custom Extension,5101
TX0001,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomical sciences,16,astronomical sciences analysis,astronomical sciences analysis,contextual_seed,2,0.6,Custom Extension,5101
TX0001,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomical sciences,17,astronomical sciences model,astronomical sciences model,contextual_seed,2,0.6,Custom Extension,5101
TX0001,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomical sciences,18,astronomical sciences applications,astronomical sciences applications,contextual_seed,2,0.6,Custom Extension,5101
TX0001,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomical sciences,19,astronomical sciences evaluation,astronomical sciences evaluation,contextual_seed,2,0.6,Custom Extension,5101
TX0001,Natural Sciences & Mathematics,Astronomy & Space Science,Astronomical sciences,20,astronomical sciences topic 1,astronomical sciences topic 1,contextual_seed,2,0.6,Custom Extension,5101
